"","UF","status","n","year","week","min","max"
"7194","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","1",2013,49,"1","1"
"7195","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7196","São Paulo","Dado estável. Sujeito a pequenas alterações.","4",2013,49,"4","4"
"7197","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7198","Acre","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7199","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7200","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7201","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7202","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7203","Brasil","Dado estável. Sujeito a pequenas alterações.","5",2013,50,"5","5"
"7204","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7205","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7206","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7207","Goiás","Dado estável. Sujeito a pequenas alterações.","1",2013,50,"1","1"
"7208","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7209","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7210","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7211","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","3",2013,50,"3","3"
"7212","Paraná","Dado estável. Sujeito a pequenas alterações.","1",2013,50,"1","1"
"7213","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7214","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7215","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7216","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7217","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7218","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7219","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7220","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7221","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7222","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7223","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7224","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7225","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,50,"0","0"
"7226","Acre","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7227","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7228","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7229","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7230","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7231","Brasil","Dado estável. Sujeito a pequenas alterações.","3",2013,51,"3","3"
"7232","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7233","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","1",2013,51,"1","1"
"7234","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7235","Goiás","Dado estável. Sujeito a pequenas alterações.","1",2013,51,"1","1"
"7236","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7237","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7238","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7239","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","1",2013,51,"1","1"
"7240","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7241","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7242","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7243","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7244","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7245","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7246","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7247","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7248","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7249","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7250","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7251","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7252","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7253","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,51,"0","0"
"7254","Acre","Dado estável. Sujeito a pequenas alterações.","1",2013,52,"1","1"
"7255","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7256","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7257","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7258","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7259","Brasil","Dado estável. Sujeito a pequenas alterações.","5",2013,52,"5","5"
"7260","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7261","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","1",2013,52,"1","1"
"7262","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7263","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7264","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7265","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7266","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7267","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","2",2013,52,"2","2"
"7268","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7269","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7270","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7271","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7272","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7273","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7274","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7275","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","1",2013,52,"1","1"
"7276","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7277","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7278","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7279","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7280","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7281","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,52,"0","0"
"7282","Acre","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7283","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7284","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7285","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7286","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
"7287","Brasil","Dado estável. Sujeito a pequenas alterações.","7",2014,1,"7","7"
"7288","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2014,1,"0","0"
