"","UF","status","n","year","week","min","max"
"227","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"228","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"229","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"230","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"231","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"232","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"233","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"234","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"235","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"236","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"237","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"238","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"239","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"240","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"241","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"242","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"243","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"244","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"245","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"246","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"247","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"248","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"249","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"250","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"251","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"252","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"253","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
"254","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"255","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"256","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"257","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
"258","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,10,"0","0"
