"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths"
"194",2009,7,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"195",2009,7,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"196",2009,7,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"197",2009,8,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"198",2009,8,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"199",2009,8,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"200",2009,8,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"201",2009,8,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"202",2009,8,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"203",2009,8,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"204",2009,8,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"205",2009,8,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"206",2009,8,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"207",2009,8,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"208",2009,8,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"209",2009,8,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"210",2009,8,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"211",2009,8,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"212",2009,8,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"213",2009,8,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"214",2009,8,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"215",2009,8,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"216",2009,8,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"217",2009,8,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"218",2009,8,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"219",2009,8,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"220",2009,8,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"221",2009,8,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"222",2009,8,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"223",2009,8,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"224",2009,8,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"225",2009,9,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"226",2009,9,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"227",2009,9,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"228",2009,9,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"229",2009,9,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"230",2009,9,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"231",2009,9,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"232",2009,9,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"233",2009,9,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"234",2009,9,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"235",2009,9,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"236",2009,9,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"237",2009,9,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"238",2009,9,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"239",2009,9,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"240",2009,9,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"241",2009,9,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"242",2009,9,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
